TradeID,PredictionID,Date,Ticker,Action,Quantity,ExecutionPrice,Commission,PortfolioValue
66,66,2024-03-06,MSFT,BUY,10,111.05002533297505,1.5,100000
67,67,2024-03-07,AAPL,BUY,10,111.77138091802311,1.5,100000
68,68,2024-03-08,NVDA,BUY,10,107.64251024278667,1.5,100000
69,69,2024-03-09,MSFT,BUY,10,134.64587761750425,1.5,100000
70,70,2024-03-10,NVDA,BUY,10,110.90778741339041,1.5,100000
71,71,2024-03-11,TSLA,BUY,10,111.7726740511108,1.5,100000
72,72,2024-03-12,MSFT,BUY,10,109.8694131111057,1.5,100000
73,73,2024-03-13,AAPL,BUY,10,119.9343609845561,1.5,100000
74,74,2024-03-14,NVDA,BUY,10,147.9296551493174,1.5,100000
75,75,2024-03-15,AMZN,BUY,10,118.33901097760054,1.5,100000
76,76,2024-03-16,NVDA,BUY,10,114.88120898320692,1.5,100000
77,77,2024-03-17,NVDA,BUY,10,103.4299795451998,1.5,100000
78,78,2024-03-18,AMZN,BUY,10,117.62637658196164,1.5,100000
79,79,2024-03-19,NVDA,BUY,10,111.60980231488375,1.5,100000
80,80,2024-03-20,TSLA,BUY,10,138.1463669010834,1.5,100000
81,81,2024-03-21,MSFT,BUY,10,105.58141499281307,1.5,100000
82,82,2024-03-22,MSFT,BUY,10,107.18405209771025,1.5,100000
83,83,2024-03-23,MSFT,BUY,10,113.92551504390569,1.5,100000
84,84,2024-03-24,NVDA,BUY,10,114.40134146676526,1.5,100000
85,85,2024-03-25,AMZN,BUY,10,142.31524683480563,1.5,100000
86,86,2024-03-26,NVDA,BUY,10,139.56418282252437,1.5,100000
87,87,2024-03-27,MSFT,BUY,10,128.93178166026127,1.5,100000
88,88,2024-03-28,AMZN,BUY,10,114.42943394300232,1.5,100000
89,89,2024-03-29,MSFT,BUY,10,115.94391766054962,1.5,100000
90,90,2024-03-30,MSFT,BUY,10,129.61091374913224,1.5,100000
91,91,2024-03-31,TSLA,BUY,10,136.9933279382412,1.5,100000
92,92,2024-04-01,TSLA,BUY,10,119.20490275542247,1.5,100000
93,93,2024-04-02,NVDA,BUY,10,125.47810143221875,1.5,100000
94,94,2024-04-03,TSLA,BUY,10,144.4016568266347,1.5,100000
95,95,2024-04-04,AMZN,BUY,10,132.48954283542153,1.5,100000
96,96,2024-04-05,AAPL,BUY,10,126.777506602095,1.5,100000
97,97,2024-04-06,AMZN,BUY,10,103.56112305709456,1.5,100000
98,98,2024-04-07,MSFT,BUY,10,108.80076058889556,1.5,100000
99,99,2024-04-08,MSFT,BUY,10,110.04957919078117,1.5,100000
100,100,2024-04-09,TSLA,BUY,10,131.15741462261474,1.5,100000
