GT_ID,PredictionID,Ticker,Recommendation,Confidence,ActualReturn5D,Correct
61,61,TSLA,HOLD,0.7488048209052919,0.08045224879432397,True
62,62,MSFT,SELL,0.36682236439769855,0.007150833714728027,False
63,63,TSLA,SELL,0.008073156093916567,-0.00012785476025005995,True
64,64,TSLA,BUY,0.10551829464223716,0.026384023859812165,False
65,65,AMZN,BUY,0.285340370117794,-0.011131062954471523,True
66,66,AMZN,SELL,0.393169803189385,-0.024574250999415802,True
67,67,TSLA,BUY,0.36432472307178065,-0.07969197542597725,False
68,68,TSLA,HOLD,0.806427721142235,0.05091865480244041,True
69,69,TSLA,BUY,0.2215827361724947,0.0024842607968285904,False
70,70,AMZN,SELL,0.410313315633288,-0.08009243767939461,False
71,71,NVDA,BUY,0.8142268941187296,-0.09092053533071186,True
72,72,NVDA,HOLD,0.793437280534362,0.08858283338961913,False
73,73,AAPL,SELL,0.2052253062336432,0.05378016416066204,False
74,74,NVDA,BUY,0.3640730122648922,0.019170140037359288,False
75,75,MSFT,SELL,0.15631314954288356,-0.07334987299765801,True
76,76,AMZN,BUY,0.09009998820237053,-0.01323908813905075,False
77,77,NVDA,SELL,0.5541931862447058,-0.05160395060058047,True
78,78,TSLA,BUY,0.3194922423549149,-0.018221754027029448,False
79,79,TSLA,HOLD,0.513689216526149,-0.010843710546524232,False
80,80,MSFT,HOLD,0.5879098985780701,-0.036264102345432814,True
81,81,AAPL,HOLD,0.6061922676092604,-0.06968847252677832,False
82,82,TSLA,HOLD,0.9407652066938389,0.03693526588972969,True
83,83,NVDA,HOLD,0.2346492197003105,0.012467346780654233,False
84,84,TSLA,BUY,0.8980852932299614,0.027427588920161255,True
85,85,AAPL,BUY,0.05130866183311378,0.056744909967627134,True
86,86,MSFT,BUY,0.03038283911238404,0.05514737015243616,False
87,87,AAPL,BUY,0.10876806974633213,0.08316151168987398,True
88,88,AAPL,HOLD,0.6436891470845285,0.04629330980442496,True
89,89,AMZN,HOLD,0.5302935174584055,0.02295579730924456,False
90,90,TSLA,SELL,0.16212318310708873,-0.0206172724144932,True
91,91,TSLA,SELL,0.14790494742126536,-0.06448656742713482,True
92,92,NVDA,SELL,0.5294293084233084,0.029512950394351773,True
93,93,AAPL,HOLD,0.9590058987642642,-0.014603030602381745,True
94,94,MSFT,BUY,0.18273000593743582,0.09988131451919147,False
95,95,TSLA,BUY,0.25912951022509767,-0.025227648667339776,True
96,96,TSLA,SELL,0.12058329235131116,0.014003924989359956,True
97,97,MSFT,HOLD,0.5946018436715242,0.014233207631784667,False
98,98,AMZN,HOLD,0.9267692898592671,-0.07366169402457862,False
99,99,NVDA,SELL,0.23801514139715152,-0.03825485840152495,True
100,100,TSLA,SELL,0.47242126318133415,-0.09933301373910672,False
